OperationIndex,Latency
677,0.000502
678,0.002321
679,0.001042
680,0.001147
681,0.001026
682,0.000538
683,0.000509
684,0.001600
685,0.001564
686,0.001554
687,0.001316
688,0.000568
689,0.000686
690,0.000552
691,0.001048
692,0.001617
693,0.000513
694,0.001676
695,0.001025
696,0.001066
697,0.001122
698,0.001195
699,0.000526
700,0.000506
701,0.000489
702,0.000616
703,0.000500
704,0.000554
705,0.001684
706,0.000556
707,0.001072
708,0.001128
709,0.002350
710,0.001136
711,0.001811
712,0.001546
713,0.000559
714,0.001106
715,0.001696
716,0.010482
717,0.001952
718,0.001194
719,0.000491
720,0.000528
721,0.000546
722,0.000532
723,0.001130
724,0.001023
725,0.001630
726,0.001627
727,0.001022
728,0.001650
729,0.009029
730,0.001101
731,0.000548
732,0.000497
733,0.001134
734,0.001071
735,0.000547
736,0.000554
737,0.001602
738,0.000575
739,0.001168
740,0.000531
741,0.000501
742,0.000549
743,0.000527
744,0.001088
745,0.001104
746,0.000533
747,0.000492
748,0.001689
749,0.001666
750,0.001769
751,0.001098
752,0.000565
753,0.001114
754,0.001609
755,0.001577
756,0.000565
757,0.001521
758,0.001641
759,0.001107
760,0.000551
761,0.000482
762,0.000963
763,0.001069
764,0.001214
765,0.021106
766,0.000622
767,0.000602
768,0.000629
769,0.000577
770,0.000502
771,0.000526
772,0.000537
773,0.000571
774,0.000528
775,0.000570
776,0.000555
777,0.001580
778,0.000527
779,0.001571
780,0.001599
781,0.002338
782,0.000578
783,0.001534
784,0.001008
785,0.001615
786,0.001043
787,0.001634
788,0.000541
789,0.000531
790,0.001613
791,0.001048
792,0.001629
793,0.001007
794,0.000539
795,0.002233
796,0.001581
797,0.000513
798,0.001091
799,0.002000
800,0.000535
801,0.000511
802,0.000514
803,0.001027
804,0.001687
805,0.001018
806,0.000528
807,0.001057
808,0.001570
809,0.001525
810,0.001717
811,0.001032
812,0.001040
813,0.000513
814,0.000454
815,0.001573
816,0.001002
817,0.001496
818,0.001043
819,0.001766
820,0.000700
821,0.001679
822,0.001183
823,0.001109
824,0.001649
825,0.000566
826,0.001703
827,0.001668
828,0.001092
829,0.001036
830,0.001803
831,0.000608
832,0.000558
833,0.001668
834,0.001709
835,0.000583
836,0.001682
837,0.001242
838,0.001690
